Name,Calories,Protein
Almond Delight,110,2.0
Apple Cinnamon Cheerios,110,2.0
Apple Jacks,110,2.0
Basic 4,130,3.0
Bran Chex,90,2.0
Bran Flakes,90,3.0
Cap'n'Crunch,120,1.0
Cheerios,110,6.0
Cinnamon Toast Crunch,120,1.0
Clusters,110,3.0
Cocoa Puffs,110,1.0
Corn Chex,110,2.0
Corn Flakes,100,2.0
Corn Pops,110,1.0
Count Chocula,110,1.0
Cracklin' Oat Bran,110,3.0
Cream of Wheat (Quick),100,3.0
Crispix,110,2.0
Crispy Wheat & Raisins,100,2.0
Double Chex,100,2.0
Froot Loops,110,2.0
Frosted Flakes,110,1.0
Frosted Mini-Wheats,100,3.0
Fruit & Fibre Dates; Walnuts; and Oats,120,3.0
Fruitful Bran,120,3.0
Fruity Pebbles,110,1.0
Golden Crisp,100,2.0
Golden Grahams,110,1.0
Grape Nuts Flakes,100,3.0
Grape-Nuts,110,3.0
Great Grains Pecan,120,3.0
Honey Graham Ohs,120,1.0
Honey Nut Cheerios,110,3.0
Honey-comb,110,1.0
Just Right Crunchy  Nuggets,110,2.0
Just Right Fruit & Nut,140,3.0
Kix,110,2.0
Life,100,4.0
Lucky Charms,110,2.0
Maypo,100,4.0
Muesli Raisins; Dates; & Almonds,150,4.0
Muesli Raisins; Peaches; & Pecans,150,4.0
Mueslix Crispy Blend,160,3.0
Multi-Grain Cheerios,100,2.0
Nut&Honey Crunch,120,2.0
Nutri-Grain Almond-Raisin,140,3.0
Nutri-grain Wheat,90,3.0
Oatmeal Raisin Crisp,130,3.0
Post Nat. Raisin Bran,120,3.0
Product 19,100,3.0
Puffed Rice,50,1.0
Puffed Wheat,50,2.0
Quaker Oat Squares,100,4.0
Quaker Oatmeal,100,5.0
Raisin Bran,120,3.0
Raisin Nut Bran,100,3.0
Raisin Squares,90,2.0
Rice Chex,110,1.0
Rice Krispies,110,2.0
Shredded Wheat,80,2.0
Shredded Wheat 'n'Bran,90,3.0
Shredded Wheat spoon size,90,3.0
Smacks,110,2.0
Special K,110,6.0
Strawberry Fruit Wheats,90,2.0
Total Corn Flakes,110,2.0
Total Raisin Bran,140,3.0
Total Whole Grain,100,3.0
Triples,110,2.0
Trix,110,1.0
Wheat Chex,100,3.0
Wheaties,100,3.0
Wheaties Honey Gold,110,2.0
100% Bran,70,4.0
100% Natural Bran,120,3.0
All-Bran,70,4.0
All-Bran with Extra Fiber,50,4.0
Almond Delight,110,2.0
Apple Cinnamon Cheerios,110,2.0
Apple Jacks,110,2.0
Basic 4,130,3.0
Bran Chex,90,2.0
Bran Flakes,90,3.0
Cap'n'Crunch,120,1.0
Cheerios,110,6.0
Cinnamon Toast Crunch,120,1.0
Clusters,110,3.0
Cocoa Puffs,110,1.0
Corn Chex,110,2.0
Corn Flakes,100,2.0
Corn Pops,110,1.0
Count Chocula,110,1.0
Cracklin' Oat Bran,110,3.0
Cream of Wheat (Quick),100,3.0
Crispix,110,2.0
Crispy Wheat & Raisins,100,2.0
Double Chex,100,2.0
Froot Loops,110,2.0
Frosted Flakes,110,1.0
Frosted Mini-Wheats,100,3.0
Fruit & Fibre Dates; Walnuts; and Oats,120,3.0
Fruitful Bran,120,3.0
Fruity Pebbles,110,1.0
Golden Crisp,100,2.0
Golden Grahams,110,1.0
Grape Nuts Flakes,100,3.0
Grape-Nuts,110,3.0
Great Grains Pecan,120,3.0
Honey Graham Ohs,120,1.0
Honey Nut Cheerios,110,3.0
Honey-comb,110,1.0
Just Right Crunchy  Nuggets,110,2.0
Just Right Fruit & Nut,140,3.0
Kix,110,2.0
Life,100,4.0
Lucky Charms,110,2.0
Maypo,100,4.0
Muesli Raisins; Dates; & Almonds,150,4.0
Muesli Raisins; Peaches; & Pecans,150,4.0
Mueslix Crispy Blend,160,3.0
Multi-Grain Cheerios,100,2.0
Nut&Honey Crunch,120,2.0
Nutri-Grain Almond-Raisin,140,3.0
Nutri-grain Wheat,90,3.0
Oatmeal Raisin Crisp,130,3.0
Post Nat. Raisin Bran,120,3.0
Product 19,100,3.0
Puffed Rice,50,1.0
Puffed Wheat,50,2.0
Quaker Oat Squares,100,4.0
Quaker Oatmeal,100,5.0
Raisin Bran,120,3.0
Raisin Nut Bran,100,3.0
Raisin Squares,90,2.0
Rice Chex,110,1.0
Rice Krispies,110,2.0
Shredded Wheat,80,2.0
Shredded Wheat 'n'Bran,90,3.0
Shredded Wheat spoon size,90,3.0
Smacks,110,2.0
Special K,110,6.0
Strawberry Fruit Wheats,90,2.0
Total Corn Flakes,110,2.0
Total Raisin Bran,140,3.0
Total Whole Grain,100,3.0
Triples,110,2.0
Trix,110,1.0
Wheat Chex,100,3.0
Wheaties,100,3.0
Wheaties Honey Gold,110,2.0
100% Bran,70,4.0
100% Natural Bran,120,3.0
All-Bran,70,4.0
All-Bran with Extra Fiber,50,4.0
Almond Delight,110,2.0
Apple Cinnamon Cheerios,110,2.0
Apple Jacks,110,2.0
Basic 4,130,3.0
Bran Chex,90,2.0
Bran Flakes,90,3.0
Cap'n'Crunch,120,1.0
Cheerios,110,6.0
Cinnamon Toast Crunch,120,1.0
Clusters,110,3.0
Cocoa Puffs,110,1.0
Corn Chex,110,2.0
Corn Flakes,100,2.0
Corn Pops,110,1.0
Count Chocula,110,1.0
Cracklin' Oat Bran,110,3.0
Cream of Wheat (Quick),100,3.0
Crispix,110,2.0
Crispy Wheat & Raisins,100,2.0
Double Chex,100,2.0
Froot Loops,110,2.0
Frosted Flakes,110,1.0
Frosted Mini-Wheats,100,3.0
Fruit & Fibre Dates; Walnuts; and Oats,120,3.0
Fruitful Bran,120,3.0
Fruity Pebbles,110,1.0
Golden Crisp,100,2.0
Golden Grahams,110,1.0
Grape Nuts Flakes,100,3.0
Grape-Nuts,110,3.0
Great Grains Pecan,120,3.0
Honey Graham Ohs,120,1.0
Honey Nut Cheerios,110,3.0
Honey-comb,110,1.0
Just Right Crunchy  Nuggets,110,2.0
Just Right Fruit & Nut,140,3.0
Kix,110,2.0
Life,100,4.0
Lucky Charms,110,2.0
Maypo,100,4.0
Muesli Raisins; Dates; & Almonds,150,4.0
Muesli Raisins; Peaches; & Pecans,150,4.0
Mueslix Crispy Blend,160,3.0
Multi-Grain Cheerios,100,2.0
Nut&Honey Crunch,120,2.0
Nutri-Grain Almond-Raisin,140,3.0
Nutri-grain Wheat,90,3.0
Oatmeal Raisin Crisp,130,3.0
Post Nat. Raisin Bran,120,3.0
Product 19,100,3.0
Puffed Rice,50,1.0
Puffed Wheat,50,2.0
Quaker Oat Squares,100,4.0
Quaker Oatmeal,100,5.0
Raisin Bran,120,3.0
Raisin Nut Bran,100,3.0
Raisin Squares,90,2.0
Rice Chex,110,1.0
Rice Krispies,110,2.0
Shredded Wheat,80,2.0
Shredded Wheat 'n'Bran,90,3.0
Shredded Wheat spoon size,90,3.0
Smacks,110,2.0
Special K,110,6.0
Strawberry Fruit Wheats,90,2.0
Total Corn Flakes,110,2.0
Total Raisin Bran,140,3.0
Total Whole Grain,100,3.0
Triples,110,2.0
Trix,110,1.0
Wheat Chex,100,3.0
Wheaties,100,3.0
Wheaties Honey Gold,110,2.0
